Wall time,Step,Value
1575146953.3601592,6144,3.700000047683716
1575147028.2210662,7168,4.199999809265137
1575147671.0697677,12288,5.900000095367432
1575147856.460039,15360,4.900000095367432
1575147921.0246832,16384,1.7000000476837158
1575148112.1543665,19456,2.0
1575148171.376392,20480,5.5
1575148229.8012645,21504,4.400000095367432
1575148797.090763,25600,5.599999904632568
1575149887.407492,37888,6.400000095367432
1575150151.936079,41984,7.300000190734863
1575150604.1714127,44032,4.599999904632568
1575150736.0237901,46080,2.9000000953674316
1575150799.5871727,47104,5.599999904632568
1575150927.5461047,49152,8.100000381469727
1575151471.794036,55296,8.0
1575151533.1316588,56320,7.0
1575151594.5741987,57344,1.399999976158142
1575151653.5921845,58368,5.199999809265137
1575151715.2227843,59392,5.599999904632568
1575152511.3491278,67584,7.699999809265137
1575152687.246117,70656,4.099999904632568
1575153193.4314075,73728,7.599999904632568
1575153256.174817,74752,6.400000095367432
1575153325.2437882,75776,7.0
1575153392.8365834,76800,2.200000047683716
1575153724.6452577,81920,6.599999904632568
1575154550.2779353,90112,8.199999809265137
1575154606.9362519,91136,8.199999809265137
1575155316.547095,97280,6.800000190734863
1575156134.9744542,105472,7.199999809265137
1575156319.9473417,108544,7.800000190734863
1575156386.8945625,109568,5.800000190734863
1575157146.843732,116736,6.0
1575157339.3509703,119808,5.699999809265137
1575157459.6013684,121856,12.199999809265137
1575158289.0268514,130048,8.199999809265137
1575158480.0389853,133120,7.800000190734863
1575158540.4821906,134144,6.599999904632568
1575159427.628781,143360,9.199999809265137
1575159881.2664077,145408,9.0
1575159944.9755948,146432,10.399999618530273
1575160017.466877,147456,11.600000381469727
1575160463.9909108,154624,9.399999618530273
1575160813.270493,159744,6.0
1575160946.0367515,161792,9.600000381469727
1575161002.1787944,162816,11.699999809265137
1575161579.2043946,166912,14.600000381469727
1575161904.2387853,172032,12.199999809265137
1575161966.3784432,173056,13.800000190734863
1575162327.3956218,176128,12.399999618530273
1575162711.544887,182272,12.600000381469727
1575162779.4624,183296,14.0
1575162904.7604072,185344,14.600000381469727
1575163419.026753,188416,13.100000381469727
1575163538.2933822,190464,12.100000381469727
1575163598.9528677,191488,11.600000381469727
1575163708.5217285,193536,13.300000190734863
1575163828.279537,195584,8.600000381469727
1575163904.3336933,196608,13.199999809265137
1575164310.2864542,203776,15.100000381469727
1575164841.9872515,211968,11.5
1575164908.2990348,212992,8.399999618530273
1575164970.4275603,214016,6.599999904632568
1575165521.8815982,218112,12.199999809265137
1575166119.406477,228352,16.899999618530273
1575166177.7751656,229376,13.800000190734863
1575166306.703441,231424,9.0
1575166519.5771444,235520,12.600000381469727
1575166716.3371809,238592,9.600000381469727
1575166768.5972908,239616,10.899999618530273
1575166833.1212685,240640,9.600000381469727
1575167011.2146676,243712,11.800000190734863
1575167749.3212943,256000,13.199999809265137
1575168183.4115758,262144,8.800000190734863
1575168363.2975519,265216,12.300000190734863
1575168485.068243,267264,9.5
1575168577.8065085,268288,12.199999809265137
1575168693.2786095,270336,13.800000190734863
1575168931.0704534,274432,12.600000381469727
1575169355.2098782,278528,14.199999809265137
1575169477.3572407,280576,14.0
1575169764.0439122,285696,8.199999809265137
1575171204.9581616,300032,16.299999237060547
1575171496.9427464,305152,15.300000190734863
1575171562.454389,306176,15.199999809265137
1575172121.6289608,310272,15.399999618530273
1575172179.2143083,311296,16.5
1575172398.1380439,315392,16.100000381469727
1575172461.4157982,316416,13.800000190734863
1575172575.609451,318464,11.300000190734863
1575172952.939161,321536,9.800000190734863
1575173258.4599228,326656,10.600000381469727
1575173315.9119837,327680,13.899999618530273
1575173380.9367723,328704,16.299999237060547
1575174006.8176959,333824,16.799999237060547
1575174065.358892,334848,14.199999809265137
1575174123.23497,335872,14.899999618530273
1575174298.7234037,338944,17.100000381469727
1575174908.1873055,348160,14.600000381469727
1575175233.9197779,350208,12.100000381469727
1575175569.868583,356352,15.199999809265137
1575176265.6074963,362496,15.0
1575176327.077712,363520,11.199999809265137
1575176702.3439598,369664,11.199999809265137
1575177213.3943226,372736,8.199999809265137
1575177449.2191515,376832,14.800000190734863
1575178020.31326,380928,16.600000381469727
1575178139.5755837,382976,16.200000762939453
1575178366.5555623,387072,16.399999618530273
1575178422.760489,388096,14.0
1575178482.4703147,389120,13.199999809265137
1575178637.1871765,391168,14.0
1575178923.0650163,396288,17.700000762939453
1575179254.2338836,401408,14.600000381469727
