Wall time,Step,Value
1575144572.5352814,6144,-1.399999976158142
1575144620.6677122,7168,-1.399999976158142
1575144867.4111965,12288,-1.399999976158142
1575144996.8691134,15360,-0.6000000238418579
1575145040.9437954,16384,1.2000000476837158
1575145165.2363338,19456,1.0
1575145202.528286,20480,0.8999999761581421
1575145240.555338,21504,2.700000047683716
1575145414.268237,25600,1.2000000476837158
1575145889.8167505,37888,2.0
1575146038.0481806,41984,1.2999999523162842
1575146128.5842001,44032,1.899999976158142
1575146206.7905207,46080,2.299999952316284
1575146240.7987483,47104,2.4000000953674316
1575146320.9199529,49152,1.7999999523162842
1575146562.264478,55296,2.5999999046325684
1575146598.2696252,56320,4.400000095367432
1575146633.5424564,57344,4.400000095367432
1575146672.9028757,58368,3.5
1575146708.6735973,59392,3.9000000953674316
1575147020.5178204,67584,2.200000047683716
1575147132.1944492,70656,5.300000190734863
1575147259.721133,73728,5.300000190734863
1575147298.9192429,74752,3.799999952316284
1575147335.7266824,75776,5.199999809265137
1575147373.6838658,76800,3.299999952316284
1575147560.2733028,81920,3.299999952316284
1575147875.4888287,90112,4.300000190734863
1575147917.0041127,91136,4.5
1575148159.142914,97280,6.099999904632568
1575148477.65148,105472,5.599999904632568
1575148590.5442495,108544,4.0
1575148627.8741734,109568,5.099999904632568
1575148911.4454083,116736,4.800000190734863
1575149030.5149488,119808,5.199999809265137
1575149109.8949893,121856,5.300000190734863
1575149393.4537096,129024,6.5
1575149431.4528372,130048,6.400000095367432
1575149545.9280171,133120,5.099999904632568
1575149584.339972,134144,6.5
1575149939.8901865,143360,7.5
1575150031.1403303,145408,6.400000095367432
1575150070.0090318,146432,7.0
1575150107.5942452,147456,6.800000190734863
1575150374.5973492,154624,4.900000095367432
1575150575.073574,159744,6.800000190734863
1575150648.4502494,161792,5.199999809265137
1575150686.2040777,162816,5.900000095367432
1575150846.6365876,166912,5.699999809265137
1575151033.00481,172032,7.0
1575151070.0204778,173056,6.300000190734863
1575151192.9969897,176128,7.0
1575151424.6396148,182272,5.300000190734863
1575151460.4901166,183296,5.599999904632568
1575151534.0918007,185344,5.0
1575151661.9929361,188416,6.5
1575151742.370362,190464,7.300000190734863
1575151781.9059482,191488,6.699999809265137
1575151861.5040817,193536,5.900000095367432
1575151932.921864,195584,6.699999809265137
1575151983.3333218,196608,5.599999904632568
1575152258.2409122,203776,7.0
1575152569.7540102,211968,7.300000190734863
1575152607.6072001,212992,4.800000190734863
1575152649.3203616,214016,5.099999904632568
1575152819.4294186,218112,7.300000190734863
1575153207.9364624,228352,6.699999809265137
1575153246.557032,229376,5.699999809265137
1575153323.3864655,231424,4.599999904632568
1575153468.064179,235520,5.300000190734863
1575153589.2703965,238592,5.599999904632568
1575153626.8285172,239616,6.800000190734863
1575153666.9378579,240640,6.099999904632568
1575153790.5385938,243712,4.800000190734863
1575154262.2688565,256000,6.800000190734863
1575154488.9748826,262144,5.699999809265137
