Wall time,Step,Value
1575146981.9377544,6144,1.7999999523162842
1575147042.9239218,7168,4.599999904632568
1575147522.889543,12288,5.599999904632568
1575147702.6557124,15360,5.0
1575147769.538054,16384,3.4000000953674316
1575147947.954893,19456,3.9000000953674316
1575148006.704985,20480,2.799999952316284
1575148071.9676237,21504,6.5
1575148617.7186875,25600,6.800000190734863
1575149642.806226,37888,7.0
1575149862.0200994,41984,8.300000190734863
1575150293.9458807,44032,8.800000190734863
1575150401.2843351,46080,4.699999809265137
1575150458.470334,47104,2.9000000953674316
1575150568.5435019,49152,6.400000095367432
1575151080.0327265,55296,7.5
1575151128.1685653,56320,9.899999618530273
1575151185.033186,57344,9.699999809265137
1575151246.6256857,58368,9.199999809265137
1575151303.280884,59392,7.0
1575151762.8199172,67584,9.100000381469727
1575151930.1903856,70656,9.800000190734863
1575152262.6811361,73728,8.399999618530273
1575152316.8109405,74752,9.899999618530273
1575152370.7029145,75776,6.800000190734863
1575152426.0285668,76800,8.100000381469727
1575152697.945881,81920,7.099999904632568
1575153465.1014783,90112,9.100000381469727
1575153515.4963784,91136,12.600000381469727
1575154173.204875,97280,7.400000095367432
1575154935.0821402,105472,14.0
1575155109.2430246,108544,14.399999618530273
1575155164.381433,109568,12.199999809265137
1575155615.3305638,116736,11.5
1575155803.9693468,119808,13.5
1575155932.5827904,121856,14.199999809265137
1575156392.3225412,129024,11.899999618530273
1575156455.3008995,130048,15.0
1575156630.6546168,133120,14.600000381469727
1575156688.592492,134144,14.300000190734863
1575157549.2237103,143360,6.800000190734863
1575157982.5887122,145408,11.899999618530273
1575158042.1233077,146432,10.600000381469727
1575158100.022931,147456,13.0
1575158518.5215518,154624,9.800000190734863
1575159134.4418397,159744,10.5
1575159251.3769321,161792,13.199999809265137
1575159311.4640825,162816,12.600000381469727
1575159575.207901,166912,8.800000190734863
1575159853.5578003,172032,13.800000190734863
1575159907.9069555,173056,17.799999237060547
1575160247.9891136,176128,13.600000381469727
1575160587.227125,182272,12.399999618530273
1575160648.206064,183296,12.399999618530273
1575160760.4660125,185344,14.0
1575161258.2590802,188416,12.300000190734863
1575161367.408286,190464,17.700000762939453
1575161421.5372162,191488,12.800000190734863
1575161536.5050533,193536,12.399999618530273
1575161664.6969097,195584,12.199999809265137
1575161892.8528647,196608,12.300000190734863
1575162315.425852,203776,13.5
1575162810.346448,211968,13.199999809265137
1575162867.7084,212992,14.800000190734863
1575162921.6029294,214016,12.399999618530273
1575163345.0010934,218112,12.600000381469727
1575164248.873793,228352,14.399999618530273
1575164303.2731278,229376,11.5
1575164419.1438868,231424,14.600000381469727
1575164650.1610627,235520,14.5
1575165154.832095,238592,15.600000381469727
1575165210.677854,239616,17.0
1575165265.823324,240640,13.0
1575165436.996732,243712,11.199999809265137
1575166114.3155937,256000,12.5
1575166560.1906598,262144,17.0
1575166734.2149675,265216,13.600000381469727
1575166839.3044336,267264,16.100000381469727
1575166914.1640983,268288,16.899999618530273
1575167026.4422884,270336,11.100000381469727
1575167250.3853343,274432,11.800000190734863
1575167791.724144,278528,17.5
1575167896.7132792,280576,17.299999237060547
1575168187.0839496,285696,15.199999809265137
1575169568.3347046,300032,14.100000381469727
1575169873.8679984,305152,15.300000190734863
1575169930.1014278,306176,12.899999618530273
1575170479.2837148,310272,18.399999618530273
1575170535.213457,311296,18.5
1575170759.8693204,315392,15.699999809265137
1575170815.0392973,316416,16.700000762939453
1575170931.7213247,318464,16.5
1575171108.3596778,321536,15.5
1575171388.0026562,326656,18.200000762939453
1575171450.8793232,327680,13.5
1575171506.6300352,328704,17.5
1575171964.2413526,333824,15.199999809265137
1575172021.3575437,334848,14.5
1575172084.7545247,335872,11.800000190734863
1575172250.9605386,338944,18.299999237060547
1575172795.862153,348160,15.899999618530273
1575173037.8005064,350208,15.199999809265137
1575173377.685547,356352,17.299999237060547
1575173773.749914,362496,17.299999237060547
1575173828.0782385,363520,15.600000381469727
1575174152.5243332,369664,15.5
1575174490.9738743,372736,13.800000190734863
1575174714.377695,376832,17.100000381469727
1575174971.0674853,380928,17.399999618530273
1575175095.4174445,382976,17.399999618530273
1575175318.4058278,387072,16.600000381469727
1575175373.3908877,388096,16.700000762939453
1575175427.4670792,389120,17.200000762939453
1575175702.024962,391168,15.199999809265137
1575175972.489249,396288,15.399999618530273
1575176413.721813,401408,17.200000762939453
1575176469.8898056,402432,17.0
1575176522.8358734,403456,14.199999809265137
1575177675.3790514,418816,10.300000190734863
1575178380.5567694,425984,13.100000381469727
1575179034.3059695,432128,18.5
1575179088.2356834,433152,16.700000762939453
1575179201.0430043,435200,15.600000381469727
1575179310.8638408,437248,11.399999618530273
1575179520.057625,441344,16.0
1575180357.3687687,450560,14.699999809265137
1575180536.0602703,452608,14.199999809265137
1575180589.949591,453632,13.899999618530273
1575180751.1279197,456704,16.299999237060547
1575181399.3922222,462848,15.199999809265137
1575181832.5451186,471040,17.399999618530273
1575181885.0980937,472064,17.799999237060547
1575182095.2247734,475136,16.600000381469727
1575182151.0095725,476160,17.100000381469727
1575182803.9413548,485376,14.699999809265137
1575182862.6069987,486400,12.0
1575183534.6953206,497664,14.5
1575183694.3248909,500736,15.199999809265137
1575183750.0499644,501760,15.0
1575184022.10955,503808,16.100000381469727
1575184131.8811173,505856,16.399999618530273
1575185044.0608726,520192,13.899999618530273
1575185483.2740686,525312,11.699999809265137
1575185594.135417,527360,16.0
1575185764.2159765,530432,17.0
1575185880.0594287,532480,12.800000190734863
1575186319.6972346,537600,12.600000381469727
1575186371.798449,538624,16.600000381469727
1575186734.3481007,544768,13.600000381469727
1575186844.1424701,546816,14.5
1575186896.6805978,547840,16.299999237060547
1575187002.6303887,549888,16.799999237060547
1575187055.3481677,550912,16.200000762939453
1575187216.627348,553984,13.800000190734863
1575187490.8453658,556032,16.100000381469727
1575187759.592131,561152,15.399999618530273
1575187810.0585673,562176,17.100000381469727
1575188475.978587,571392,14.5
1575188589.3216865,573440,17.600000381469727
1575188851.4458609,577536,18.5
1575188910.6898909,578560,18.200000762939453
1575188965.7746508,579584,17.799999237060547
1575189167.8371606,583680,16.0
1575189430.9826694,587776,17.600000381469727
1575189484.125746,588800,16.799999237060547
1575189657.020188,591872,15.100000381469727
1575189762.484953,593920,16.100000381469727
1575189816.0085158,594944,16.200000762939453
1575190052.3727174,595968,17.399999618530273
1575190103.1742134,596992,17.799999237060547
1575190154.7570505,598016,16.600000381469727
1575190203.7085457,599040,16.600000381469727
1575190316.8233135,601088,14.899999618530273
1575190371.4358592,602112,16.799999237060547
1575190707.7426233,607232,14.600000381469727
1575190763.0611975,608256,11.5
1575190978.9113677,612352,16.200000762939453
1575191144.841637,615424,17.0
1575191326.128072,617472,18.299999237060547
1575191659.2189891,623616,4.199999809265137
1575191764.3322492,625664,9.600000381469727
1575192073.5627968,630784,16.700000762939453
1575192288.7595026,634880,14.300000190734863
1575192341.5057483,635904,14.600000381469727
1575192505.7787418,637952,11.100000381469727
1575193310.5920475,650240,13.699999809265137
1575193757.7422807,657408,15.600000381469727
1575193815.493067,658432,16.0
1575193920.351068,660480,17.200000762939453
1575193974.388752,661504,15.399999618530273
1575194028.9975712,662528,16.399999618530273
1575194079.7321613,663552,16.100000381469727
1575194180.5103765,665600,13.300000190734863
1575194391.8743904,668672,16.100000381469727
1575194600.7928689,672768,18.100000381469727
1575194657.5354173,673792,17.899999618530273
1575195042.0607483,677888,16.299999237060547
1575195199.1872914,680960,13.699999809265137
1575195414.13164,685056,17.700000762939453
1575195631.4586055,688128,17.100000381469727
1575195685.394776,689152,16.799999237060547
1575195740.8002872,690176,15.300000190734863
1575195792.6932707,691200,16.100000381469727
1575195846.324424,692224,16.100000381469727
1575195952.47735,694272,14.800000190734863
1575196004.5448446,695296,14.199999809265137
1575196060.687441,696320,16.700000762939453
1575196270.244168,699392,13.699999809265137
1575196319.7153683,700416,13.800000190734863
1575196371.459708,701440,15.0
1575196478.7240634,703488,14.5
1575196594.731656,705536,9.600000381469727
1575196645.4947448,706560,12.0
1575197188.167719,713728,13.5
1575197351.6211267,716800,15.899999618530273
1575197586.2522316,720896,13.399999618530273
1575197746.9433765,723968,14.100000381469727
1575197868.6446412,726016,9.899999618530273
1575197973.2887022,728064,16.600000381469727
