Wall time,Step,Value
1575144539.8852074,6144,-3.0
1575144588.2245405,7168,-2.200000047683716
1575144813.4268446,12288,-2.0
1575144929.6109846,15360,-1.399999976158142
1575144964.2053638,16384,0.0
1575145076.7122083,19456,-0.800000011920929
1575145117.300535,20480,-0.4000000059604645
1575145153.1373036,21504,-0.8999999761581421
1575145307.794601,25600,-1.7999999523162842
1575145764.0738935,37888,0.4000000059604645
1575145930.711173,41984,1.2000000476837158
1575146019.6911378,44032,2.299999952316284
1575146107.7848294,46080,2.0
1575146149.1378198,47104,2.9000000953674316
1575146234.2900398,49152,2.4000000953674316
1575146517.0587308,55296,3.799999952316284
1575146558.7914429,56320,4.400000095367432
1575146603.6391494,57344,4.699999809265137
1575146651.2902608,58368,4.099999904632568
1575146697.1447647,59392,4.699999809265137
1575147053.015812,67584,4.099999904632568
1575147177.0496917,70656,4.699999809265137
1575147321.2373848,73728,5.0
1575147363.1715705,74752,1.7000000476837158
1575147403.121067,75776,2.0
1575147447.71781,76800,3.200000047683716
1575147666.5124843,81920,3.799999952316284
1575148031.066609,90112,4.699999809265137
1575148076.600626,91136,4.400000095367432
1575148379.404272,97280,4.699999809265137
1575148756.1557777,105472,4.699999809265137
1575148897.2726364,108544,4.400000095367432
1575148942.8109984,109568,4.699999809265137
1575149291.201247,116736,4.699999809265137
1575149427.7810988,119808,4.400000095367432
1575149515.7607841,121856,5.0
1575149851.3529403,129024,5.0
1575149897.9890487,130048,5.0
1575150040.9493074,133120,4.400000095367432
1575150088.0832012,134144,5.0
1575150506.6801631,143360,4.699999809265137
1575150608.8228357,145408,4.699999809265137
1575150654.1326778,146432,4.400000095367432
1575150702.2596467,147456,5.0
1575151023.2737567,154624,3.299999952316284
1575151264.0279665,159744,5.0
1575151354.504227,161792,5.0
1575151399.666702,162816,5.0
1575151599.9036415,166912,4.699999809265137
1575151847.9891505,172032,5.0
1575151890.5927298,173056,4.099999904632568
1575152048.9695916,176128,5.0
1575152360.7102666,182272,5.0
1575152409.7144072,183296,5.0
1575152499.4711752,185344,5.0
1575152661.4871545,188416,5.0
1575152752.5567331,190464,4.699999809265137
1575152799.4001734,191488,5.0
1575152895.8809836,193536,5.0
1575152990.9669292,195584,4.699999809265137
1575153051.595953,196608,4.699999809265137
1575153378.242473,203776,5.0
1575153778.5283995,211968,5.0
1575153819.4521234,212992,5.0
1575153862.430253,214016,5.0
1575154061.2173374,218112,4.400000095367432
1575154531.1696367,228352,5.0
1575154575.439766,229376,5.0
1575154667.8151867,231424,4.699999809265137
1575154854.0116425,235520,5.0
1575154999.1008024,238592,5.0
1575155044.1928773,239616,5.0
1575155092.204202,240640,4.199999809265137
1575155236.793959,243712,5.0
1575155804.3378532,256000,5.0
1575156092.1555476,262144,5.0
1575156229.205317,265216,5.0
1575156324.7171636,267264,5.0
1575156383.85675,268288,5.0
1575156472.7249885,270336,5.0
1575156671.7500615,274432,5.0
1575156871.9278407,278528,5.0
1575156967.496636,280576,5.0
1575157215.444298,285696,5.0
1575157887.716042,300032,5.0
1575158118.0624447,305152,5.0
1575158167.1823688,306176,5.0
1575158364.091718,310272,5.0
1575158412.3514829,311296,4.699999809265137
1575158609.1162574,315392,4.400000095367432
1575158657.6929808,316416,5.0
1575158759.1606073,318464,5.0
1575158911.9557126,321536,5.0
1575159147.0746727,326656,5.0
1575159198.0491168,327680,5.0
1575159248.2030764,328704,5.0
1575159512.2774374,333824,5.0
1575159559.0130608,334848,5.0
1575159605.9564688,335872,5.0
1575159740.2049155,338944,5.0
1575160162.3634644,348160,5.0
1575160269.6809494,350208,5.0
1575160568.3636112,356352,5.0
1575160856.226377,362496,5.0
1575160896.5236924,363520,5.0
1575161163.8761277,369664,5.0
1575161307.8596687,372736,3.9000000953674316
1575161487.7691424,376832,5.0
1575161691.7954314,380928,5.0
1575161775.8871574,382976,4.199999809265137
1575161968.8517256,387072,4.699999809265137
1575162015.9754305,388096,5.0
1575162063.3267248,389120,4.400000095367432
1575162174.0951293,391168,4.400000095367432
1575162404.303087,396288,5.0
1575162638.1482098,401408,4.099999904632568
1575162682.6748793,402432,5.0
1575162729.7380567,403456,5.0
1575163424.435805,418816,4.699999809265137
1575163760.4271836,425984,5.0
1575164041.4386523,432128,5.0
1575164090.334666,433152,5.0
1575164187.122505,435200,5.0
1575164276.754827,437248,4.699999809265137
1575164457.20047,441344,5.0
1575164909.8007727,450560,5.0
1575165026.7662265,452608,5.0
1575165077.5003798,453632,5.0
1575165223.8316367,456704,5.0
1575165508.2681518,462848,4.699999809265137
1575165871.4284222,471040,5.0
1575165920.0929422,472064,5.0
1575166069.1112604,475136,5.0
